Matricula,Temporada,Embarcacion,Armador,casco,tipo_presevacion,eslora,potencia_motor,capbod_m3,numowned
CO-4501-PM,2017-I,POLAR XII,PESQUERA DIAMANTE S.A.,ACERO NAVAL,N/P,43.15999985,661.95,368.64,29
CO-17361-PM,2017-I,TASA 59,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,RSW,44.68000031,1051,574.74,48
CO-13012-PM,2017-I,NUEVA RESBALOSA,AUSTRAL GROUP S.A.A,ACERO NAVAL,RSW,40,790.44,436.95,20
CE-0561-PM,2017-I,CUZCO 1,PESQUERA ROSARIO S.A.,ACERO NAVAL,N/P,36.79999924,633.84,386.58,2
CE-5718-PM,2017-I,DON MILTON,PESQUERA BETHEL S.A.,ACERO NAVAL,N/P,27.13999939,395.2,133.66,2
CE-4021-PM,2017-I,TIBURON 9,PESQUERA CARAL S.A.,ACERO NAVAL,N/P,39.59999847,421.32,310.71,3
PT-4269-CM,2017-I,MARIAJOSE,CONSORCIO MUZA S.A.C,MADERA,N/P,15,240,109.93,8
CO-15312-PM,2017-I,CARIBE,PESQUERA EXALMAR S.A.A.,ACERO NAVAL,RSW,33.95000076,633.84,374.65,23
SY-4687-CM,2017-I,BRITNY,BARRETO PAREDES FERNANDO RICHARD,MADERA,N/P,15,420,80,4
CO-1458-PM,2017-I,CAPRICORNIO 3,PESQUERA CAPRICORNIO S.A.,ACERO NAVAL,N/P,25.04000092,402.99,192.79,7
PL-28539-PM,2017-I,ROSA MARIA MS 1,EMPRESA PESQUERA SANTA LUCIA S.A.C.,MADERA,N/P,21.89999962,540,110,3
CO-22589-PM,2017-I,SUPE,GRUPO PESQUERO S.A.C.,ACERO NAVAL,N/P,32.86999893,402,190.59,5
CO-20761-PM,2017-I,TASA 51,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,RSW,51.5,1730,586.46,48
PL-10379-CM,2017-I,ALMIRANTE GRAU,"NAHIARA ESMERALDA S.A.C.",MADERA,CAJ/HIE,20,365,88,2
CO-05580-PM,2017-I,SIMY 3,CFG INVESTMENT S.A.C.,ACERO NAVAL,N/P,38.11000061,905.27,360,20
PS-10415-PM,2017-I,TASA 34,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,39.00999832,701.24,334.38,48
CO-6331-PM,2017-I,BUJAMA,PESQUERA CASABLANCA S.A.C.,ACERO NAVAL,N/P,24.54000092,540,198,5
CE-17380-PM,2017-I,MARIA I,PESQUERA CENTINELA S.A.C.,ACERO NAVAL,RSW,45,895,343.2,9
CO-13027-PM,2017-I,NUEVO SAN TELMO,PESQUERA EXALMAR S.A.A.,ACERO NAVAL,N/P,31.09000015,526,278.96,23
CE-14210-PM,2017-I,JADRAN I,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,N/P,41.45000076,700,350.82,27
CE-1243-PM,2017-I,OSCAR,PESQUERA SABY E.I.R.L.,ACERO NAVAL,N/P,30.700000760000002,242.6,265.37,1
CE-2915-PM,2017-I,DORADO,PESQUERA EXALMAR S.A.A.,ACERO NAVAL,N/P,37.56999969,538.97,366.38,23
CE-28225-PM,2017-I,COQUI X,PESQUERA NINFAS DEL MAR S.A.C.,ACERO NAVAL,N/P,45.79999924,1300,379.08,3
PT-28566-CM,2017-I,MUZA,CONSORCIO MUZA S.A.C,MADERA,CAJ/HIE,22.25,600,98.15,8
CE-1250-PM,2017-I,TASA 220,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,27.45999908,540,212.86,48
CE-6125-PM,2017-I,RIBAR VI,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,RSW,56,1440,592.99,27
CO-6239-PM,2017-I,TASA 424,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,45.15999985,633.34,402.45,48
CE-12518-PM,2017-I,C&Z 8,CFG INVESTMENT S.A.C.,ACERO NAVAL,N/P,39.5,596.8,382.53,20
MO-20444-CM,2017-I,MARIETA,CI?RA PARDO DANIELA ISABEL ;CI?RA PARDO MATIAS EDUARDO ;CI?RA PARDO NICOLAS MATEO ;CI?RA SALAZAR ROSA IVETTE ;CI?RA ZEGARRA ROSA MARIA,MADERA,N/P,23.049999239999998,164.5,110,2
CE-1255-CM,2017-I,HAWAI I,PESQUERA KARIN S.A.C.,ACERO NAVAL,N/P,20.39999962,340,118.22,1
PT-29565-CM,2017-I,GUIAME SEÑOR CAUTIVO,CONSORCIO MUZA S.A.C,MADERA,N/P,19.299999239999998,380,61.53,8
CO-0786-PM,2017-I,AREQUIPA 5,PESQUERA EXALMAR S.A.A.,ACERO NAVAL,N/P,36.77000046,380,372,23
CE-16702-CM,2017-I,MARIA ESPERANZA II,CORPORACION SEGJONA S.A.C.,MADERA,CAJ/HIE,14.69999981,365,70.9,3
CE-29039-PM,2017-I,ANDES 52,CFG INVESTMENT S.A.C.,ACERO NAVAL,RSW,53.40000153,1875,565.78,20
CO-13008-PM,2017-I,TASA 54,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,RSW,46.93999863,1171,563.84,48
CO-13009-PM,2017-I,POLAR VII,PESQUERA DIAMANTE S.A.,ACERO NAVAL,RSW,45.22999954,1030,530,29
CO-5579-PM,2017-I,DOÑA ADDY,PESQUERA PELAYO S.A.C.,ACERO NAVAL,N/P,41.5,633.85,394.08,4
CE-11716-PM,2017-I,MODESTO 6,PESQUERA NIROCI S.A.C.,ACERO NAVAL,RSW,27.43000031,447.42,200.17,5
CE-3043-PM,2017-I,SAN ANTONIO 2,PESQUERA ROSARIO S.A.,ACERO NAVAL,N/P,31.200000760000002,565,278,2
CE-2770-PM,2017-I,DON ROBERTH,PESQUERA CAPRICORNIO S.A.,ACERO NAVAL,N/P,25.05999947,510,198.69,7
CE-2911-PM,2017-I,CUZCO 4,PESQUERA EXALMAR S.A.A.,ACERO NAVAL,N/P,37.52999878,633.84,367.75,23
CO-11998-PM,2017-I,ISABELLA,PESQUERA DIAMANTE S.A.,ACERO NAVAL,N/P,38.5,783,390.03,29
CO-12974-PM,2017-I,TASA 419,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,RSW,42.68999863,1052,427.39,48
CO-18167-PM,2017-I,CRETA,PESQUERA EXALMAR S.A.A.,ACERO NAVAL,RSW,42.45000076,894.9,441.18,23
CE-6614-PM,2017-I,MANTA 3,PESQUERA CENTINELA S.A.C.,ACERO NAVAL,N/P,27.15999985,510,196.13,9
CO-21913-PM,2017-I,TASA 43,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,44.52000046,1305,399.31,48
CO-14268-PM,2017-I,IPANEMA,PESQUERA EXALMAR S.A.A.,ACERO NAVAL,RSW,37.70000076,790.44,374.46,23
CO-18294-PM,2017-I,TASA 42,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,RSW,43.79999924,1195.41,473.1,48
CE-4503-PM,2017-I,SAMANCO 3,PESQUERA EXALMAR S.A.A.,ACERO NAVAL,N/P,37.45999908,661.95,360,23
CO-4901-PM,2017-I,DON FRANCISCO,PESQUERA PELAYO S.A.C.,ACERO NAVAL,N/P,29.52000046,587,198.95,4
CO-22326-PM,2017-I,TASA 55,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,RSW,48.75,1280,500,48
CO-20777-PM,2017-I,TASA 52,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,RSW,51.5,1730,589.22,48
CO-23560-PM,2017-I,COSTA BRAVA,PESQUERA EXALMAR S.A.A.,ACERO NAVAL,N/P,37.45999908,900.1,307.17,23
CO-23558-PM,2017-I,DANIA 1,PESQUERA NATALIA S.A.C.,ACERO NAVAL,N/P,33.40000153,700,286.68,2
CO-5069-PM,2017-I,GRUNEPA 3,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,N/P,43.61999893,536.9,412.78,27
CE-2412-PM,2017-I,MERLIN,PESQUERA EXALMAR S.A.A.,ACERO NAVAL,N/P,37.43000031,537,371.93,23
PS-06711-PM,2017-I,TASA 37,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,31.09000015,421.49,321.56,48
SE-0831-PM,2017-I,TASA 17,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,24.39999962,316.92,190.46,48
CO-24654-PM,2017-I,SEBASTIAN,PESQUERA DIAMANTE S.A.,ACERO NAVAL,RSW,45.29999924,1450,456.7,29
PL-1510-PM,2017-I,ALMIRANTE GRAU II,JSERFRA S.A.C.,MADERA,N/P,18.60000038,365,87.52,1
CO-18812-PM,2017-I,KIANA,AUSTRAL GROUP S.A.A,ACERO NAVAL,RSW,50.59999847,900,430.24,20
PL-21732-CM,2017-I,JIMY ROBERT,OROSCO CASTRO JOSE ROSARIO,MADERA,CAJ/HIE,20.89999962,455,105.03,4
CO-11988-CM,2017-I,LULU I,GRUPO PESQUERO S.A.C.,ACERO NAVAL,RSW,19.05999947,149,62.18,5
PL-17595-PM,2017-I,LOS ANGELES,PESQUERA MARMAR S.A.C.,MADERA,CAJ/HIE,20.97999954,365,109.05,7
CE-1242-PM,2017-I,"NATALIE",PESQUERA CASABLANCA S.A.C.,ACERO NAVAL,N/P,27.950000760000002,180.76,251.99,5
CO-21121-PM,2017-I,ANGELES,PESQUERA MARMAR S.A.C.,MADERA,CAJ/HIE,22.79000092,339.29,105.87,7
CE-13244-PM,2017-I,RIBAR XVI,CORPORACION PESQUERA INCA S.A.C.,ACERO NAVAL,RSW,56,850,519.16,27
PL-19820-CM,2017-I,JARIT,PESQUERA MARINHA S.A.C,MADERA,CAJ/HIE,19.39999962,380,104.98,4
SY-1579-CM,2017-I,PM 5,HORNA HARO SEGUNDO NESTOR,ACERO NAVAL,N/P,19.22999954,220,110.84,1
HO-10201-PM,2017-I,TASA 21,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,31.09000015,455.06,321.64,48
CE-19892-PM,2017-I,BILBAO,PESQUERA MARINHA S.A.C,MADERA,N/P,22,0,110,4
CE-21211-PM,2017-I,BLANDI,PESQUERA CENTINELA S.A.C.,ACERO NAVAL,N/P,39.70000076,666.67,349.83,9
CE-16661-PM,2017-I,BAMAR II,PESQUERA HAYDUK S.A.,ACERO NAVAL,RSW,42.77000046,1300,607.14,19
CE-21455-PM,2017-I,KIARA B,PESQUERA HAYDUK S.A.,ACERO NAVAL,RSW,48.70000076,1327.4,488.2,19
CE-0254-PM,2017-I,SAN JUDAS,PESQUERA ISA S.R.L.,ACERO NAVAL,N/P,39.04999924,671,203.19,4
CO-10399-PM,2017-I,ESTELA DE ORO II,AUSTRAL GROUP S.A.A,ACERO NAVAL,N/P,45.22000122,790.44,429.48,20
PL-51218-PM,2017-I,LUIS ALEXIS,LORO MARTINEZ JUANA ESTHER ;LORO MARTINEZ LUCIA ISABEL ;LORO MARTINEZ LUIS ROGER ;LORO MARTINEZ MARIA PATROCINIA ;LORO MARTINEZ MARITZA ISABEL ;MARTINEZ GARCIA MARIA PETRONILA,MADERA,N/P,20.5,600,71.56,1
CO-29856-PM,2017-I,DON ALFREDO,PESQUERA EXALMAR S.A.A.,ACERO NAVAL,N/P,54.54000092,1875,563.2,23
PS-10850-PM,2017-I,TASA 413,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,38.75,790.76,444.46,48
PL-22258-PM,2017-I,AURORA MARGARITA,AUROMAR S.A.C.,MADERA,CAJ/HIE,22.35000038,540,106,2
CE-2891-CM,2017-I,MARIA ESPERANZA I,CORPORACION SEGJONA S.A.C.,MADERA,CAJ/HIE,14.93999958,283.36,61.5,3
CE-14845-PM,2017-I,SANTA ADELA II,PESQUERA CENTINELA S.A.C.,ACERO NAVAL,RSW,40.5,894.84,429.97,9
PT-11884-CM,2017-I,PROFETA DANIEL II,PESQUERA SANTIS S.A.C.,MADERA,CAJ/HIE,20.10000038,365,99.88,1
CE-41816-PM,2017-I,SAN JUDAS II,PESQUERA NINFAS DEL MAR S.A.C.,ACERO NAVAL,N/P,48.09999847,1200,331.38,3
CE-9923-PM,2017-I,TASA 22,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,32.15000153,408.1,321.64,48
CE-6685-PM,2017-I,TASA 218,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,36.70999908,633.84,201.75,48
PL-2251-CM,2017-I,COSTA BELLA,INURRITEGUI BERNAL MARIA ALINA ;JAIME PE? WILMER FAUSTINO,MADERA,CAJ/HIE,13.65999985,54.52,48.31,2
CE-19851-CM,2017-I,YOLY,PESQUERA MARMAR S.A.C.,MADERA,CAJ/HIE,16.86000061,350,86.98,7
PL-2751-CM,2017-I,SANTA MARGARITA 2,ARROYO PUICAN MANUEL DE LA NATIVIDAD ;URCIA DE ARROYO AURORA,MADERA,CAJ/HIE,20.39999962,455,107.76,1
CE-2912-PM,2017-I,ANCASH 2,PESQUERA EXALMAR S.A.A.,ACERO NAVAL,N/P,37.95000076,740,373.73,23
CE-6259-PM,2017-I,JACKELIN,PESQUERA HAYDUK S.A.,ACERO NAVAL,N/P,47.31000137,902.3,388.37,19
PL-5871-CM,2017-I,LESLY ASUNCIONA,BERNAL VELASQUEZ JULIO,MADERA,N/P,15.19999981,270,42.04,1
CO-23104-CM,2017-I,MODESTO,CI?RA PARDO DANIELA ISABEL ;CI?RA PARDO MATIAS EDUARDO ;CI?RA PARDO NICOLAS MATEO ;CI?RA SALAZAR ROSA IVETTE ;CI?RA ZEGARRA ROSA MARIA,MADERA,N/P,21.82999992,360,108.51,2
PS-11080-PM,2017-I,TASA 411,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,38.75,895.2,442.52,48
CE-18002-PM,2017-I,BAMAR IV,PESQUERA HAYDUK S.A.,ACERO NAVAL,RSW,50.31999969,1716,500.66,19
CE-4829-PM,2017-I,CLAUDIA,PESQUERA EXALMAR S.A.A.,ACERO NAVAL,N/P,37.83000183,900,362,23
CE-21701-CM,2017-I,VELA I,INVERSIONES VELA S.R.L.,ACERO NAVAL,N/P,20.62000084,285,110.24,1
PT-02461-PM,2017-I,TASA 210,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,31.60000038,373,287.68,48
PT-4242-CM,2017-I,MI CONSUELO,CONSORCIO MUZA S.A.C,MADERA,N/P,14.96000004,440,109.4,8
PS-22771-PM,2017-I,TASA 425,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,N/P,43.91999817,900,403.69,48
HO-4875-PM,2017-I,COQUI II,PESQUERA NINFAS DEL MAR S.A.C.,ACERO NAVAL,N/P,25.39999962,467,193.08,3
CO-22658-PM,2017-I,STEFANO,PESQUERA DIAMANTE S.A.,ACERO NAVAL,RSW,46.41999817,1491,503.2,29
CO-0393-PM,2017-I,SANTA ROSA,PESQUERA TEVIMAR S.A.,ACERO NAVAL,N/P,31.61000061,448,244.75,5
PT-16862-CM,2017-I,LILIANA,ORGULLO DEL MAR S.A.C.,MADERA,CAJ/HIE,19.01000023,240,102.53,1
CO-11074-PM,2017-I,COQUI XII,PESQUERA ISA S.R.L.,ACERO NAVAL,N/P,31.26000023,450,292.4,4
CO-9908-PM,2017-I,ESTELA DE PLATA II,AUSTRAL GROUP S.A.A,ACERO NAVAL,N/P,45.20000076,1200,430.51,20
IO-2394-PM,2017-I,CARMEN JUDITH 4,EMPRESA PESQUERA PERCAR S.A.C.,ACERO NAVAL,N/P,25.799999239999998,380.36,205.53,5
PL-28538-PM,2017-I,ROSA MARIA MS-4,EMPRESA PESQUERA SANTA LUCIA S.A.C.,MADERA,N/P,18.950000760000002,365,88.33,3
PL-5297-CM,2017-I,ROSA AMELIA 1,LLENQUE JACINTO JOSE MARIANO,MADERA,CAJ/HIE,14.02000046,180,35,2
CO-17299-PM,2017-I,TASA 420,TECNOLOGICA DE ALIMENTOS S.A.,ACERO NAVAL,RSW,43.25,1200,473.13,48
PL-50967-CM,2017-I,MARLENY MARITZA,LLENQUE FIESTAS DARIO,MADERA,N/P,16.299999239999998,210,33,1
CO-11071-PM,2017-I,COQUI IX,PESQUERA ISA S.R.L.,ACERO NAVAL,N/P,31.19000053,450,196.51,4
CE-2410-PM,2017-I,GAVILAN,PESQUERA DO? CAROLINA S.A.,ACERO NAVAL,N/P,36.59999847,537,374.47,2
CO-22308-PM,2017-I,POLAR IV,PESQUERA DIAMANTE S.A.,ACERO NAVAL,RSW,43.63999939,1193.12,450,29
CO-28711-PM,2017-I,CHIRA I,PESQUERA HAYDUK S.A.,ACERO NAVAL,N/P,32.79999924,775,194.52,19
CO-6255-PM,2017-I,ESTELA DE PLATA,AUSTRAL GROUP S.A.A,ACERO NAVAL,N/P,44.49000168,839,369.1,20
PL-35001-PM,2017-I,MI FE EN CRISTO 4,BERNAL LLONTOP FELIPE ;BERNAL LLONTOP HECTOR ;BERNAL LLONTOP LORENZO NICOLAS ;LEYTON CHANAME MARIA ANTONIA ;PALMA DE BERNAL MARIA LUCILA,MADERA,N/P,22,510,75.32,2
CE-0216-PM,2017-I,GRUPEZ,GRUPO PESQUERO S.A.C.,ACERO NAVAL,N/P,27.18000031,442,192.01,5
PT-13533-PM,2017-I,SECHURA,PESQUERA HAYDUK S.A.,ACERO NAVAL,N/P,34.59999847,600,352.81,19
CO-16854-PM,2017-I,TIBURON 7,PESQUERA CARAL S.A.,ACERO NAVAL,RSW,39.29999924,857.6,438.48,3
CO-20863-PM,2017-I,OLGA,PESQUERA DIAMANTE S.A.,ACERO NAVAL,N/P,45.13999939,1491,538.01,29
CO-21706-CM,2017-I,SALVADOR I,SALVADOR ZA FISHING S.A.C.,MADERA,N/P,21.71999931,380,92,2
CO-29600-PM,2017-I,JAVIER,PESQUERA TEVIMAR S.A.,ACERO NAVAL,N/P,37,1000,288.04,5
CO-15724-PM,2017-I,MALENA,AUSTRAL GROUP S.A.A,ACERO NAVAL,RSW,62,3070,867.17,20
